trial_id,f0,f1,f2,kernel_size,dense_units,dense_dp,weight_decay,optimizer,lr,batch_size,use_plateau,status,best_epoch,train_acc,val_acc
00,128,64,256,7,64,0.2,3.507215228728303e-05,rmsprop,0.0001,16,False,COMPLETED,20,0.9278846383094788,0.5897436141967773
01,128,64,256,3,64,0.2,1.0137583660859015e-06,rmsprop,0.0001,64,True,COMPLETED,35,0.5496794581413269,0.4294871687889099
02,32,128,256,3,64,0.4,8.128524746629793e-05,rmsprop,0.0005,16,False,COMPLETED,24,0.9431089758872986,0.5897436141967773
03,128,64,128,7,128,0.30000000000000004,2.4612244291025354e-05,adam,0.001,64,True,COMPLETED,2,0.09455128014087677,0.09294871985912323
04,32,64,128,3,128,0.2,2.6852727140537442e-05,rmsprop,0.0001,64,False,COMPLETED,25,0.8717948794364929,0.5961538553237915
05,128,256,256,7,128,0.30000000000000004,4.726311111933952e-05,adam,0.0001,16,True,COMPLETED,16,0.9607371687889099,0.6570512652397156
06,128,64,256,3,256,0.30000000000000004,2.223834398190109e-06,adam,0.001,32,False,COMPLETED,14,0.9919871687889099,0.5961538553237915
07,128,256,256,7,128,0.2,5.105934690849343e-05,sgd,0.001,64,True,COMPLETED,34,0.8862179517745972,0.5961538553237915
08,32,256,256,5,64,0.30000000000000004,4.035439859879942e-05,sgd,0.0005,16,True,COMPLETED,20,0.17067307233810425,0.21153846383094788
09,64,256,256,5,256,0.4,6.700829010008494e-05,adam,0.0005,64,False,FAILED,0,,
10,128,128,128,7,128,0.2,1.7887307871975e-06,adam,0.001,32,False,COMPLETED,20,0.8998397588729858,0.4294871687889099
11,128,256,256,7,256,0.4,1.6899045670308515e-06,adam,0.001,32,False,COMPLETED,0,0.10496795177459717,0.08653846383094788
12,128,64,256,5,64,0.2,1.7169648733932947e-06,sgd,0.0005,16,False,COMPLETED,15,0.18669871985912323,0.25
13,128,64,256,3,128,0.30000000000000004,1.1844905074722783e-06,rmsprop,0.0005,16,True,COMPLETED,18,0.9591346383094788,0.6185897588729858
14,32,256,256,7,64,0.30000000000000004,7.711862216981024e-05,sgd,0.001,32,True,COMPLETED,38,0.75,0.5128205418586731
15,32,128,128,7,128,0.30000000000000004,3.286746057803035e-06,sgd,0.0005,32,True,COMPLETED,37,0.7323718070983887,0.5865384340286255
16,128,128,128,7,64,0.30000000000000004,3.935858504752804e-06,sgd,0.0001,32,False,COMPLETED,10,0.1794871836900711,0.2211538404226303
17,32,64,128,3,128,0.4,2.743043478381547e-05,adam,0.001,16,False,COMPLETED,30,0.9743589758872986,0.6314102411270142
18,64,256,256,7,128,0.2,4.7294362026370116e-05,rmsprop,0.001,16,True,COMPLETED,26,0.9575320482254028,0.5929487347602844
19,32,64,256,7,64,0.30000000000000004,6.683401779428952e-05,sgd,0.0005,16,False,COMPLETED,39,0.42067307233810425,0.41987180709838867
20,128,64,256,7,128,0.2,9.403614999484183e-06,rmsprop,0.0001,16,False,COMPLETED,16,0.9455128312110901,0.6282051205635071
21,32,256,256,5,128,0.30000000000000004,1.5289905806123778e-05,sgd,0.0001,32,False,COMPLETED,14,0.19631409645080566,0.2083333283662796
22,64,128,128,5,256,0.4,5.582095371314753e-06,sgd,0.001,64,False,COMPLETED,34,0.8645833134651184,0.5897436141967773
23,32,64,256,3,128,0.4,3.806871387360406e-05,sgd,0.0005,16,True,COMPLETED,16,0.15304486453533173,0.19230769574642181
24,32,64,256,5,64,0.4,5.844476066973506e-06,adam,0.0005,32,True,COMPLETED,17,0.9054487347602844,0.6538461446762085
25,128,128,256,3,64,0.30000000000000004,7.715817770883184e-05,rmsprop,0.001,16,False,COMPLETED,0,0.11057692021131516,0.09294871985912323
26,32,64,128,3,128,0.30000000000000004,4.499991835674088e-05,sgd,0.0005,16,True,COMPLETED,16,0.26121795177459717,0.3076923191547394
27,32,256,128,7,128,0.2,1.353425444136103e-05,rmsprop,0.001,32,True,COMPLETED,19,0.9823718070983887,0.5641025900840759
28,64,128,128,3,64,0.2,1.51149980504743e-06,rmsprop,0.0005,64,True,COMPLETED,15,0.9575320482254028,0.5833333134651184
29,64,128,128,7,256,0.30000000000000004,1.620301758122103e-05,rmsprop,0.001,32,False,COMPLETED,26,0.9671474099159241,0.557692289352417
30,64,256,256,5,64,0.2,1.2107327077037937e-05,rmsprop,0.001,16,False,COMPLETED,17,0.9054487347602844,0.5641025900840759
31,128,64,256,3,64,0.4,1.7500478839025897e-05,adam,0.0005,16,True,COMPLETED,20,0.8060897588729858,0.5993589758872986
32,128,256,256,5,128,0.2,2.1816829689460073e-06,rmsprop,0.0001,16,True,FAILED,0,,
33,128,256,256,3,128,0.4,2.834241861553627e-05,adam,0.0001,64,False,FAILED,0,,
34,128,256,128,7,256,0.2,2.2466970035351196e-05,adam,0.001,64,False,COMPLETED,0,0.09294871985912323,0.09615384787321091
35,64,256,256,7,64,0.4,4.8375332658590165e-06,sgd,0.001,32,False,COMPLETED,37,0.6931089758872986,0.5032051205635071
36,64,64,256,5,64,0.4,6.786446896999284e-06,adam,0.0005,32,True,COMPLETED,18,0.8846153616905212,0.5993589758872986
37,32,64,256,3,64,0.4,1.0322333113531436e-05,adam,0.0005,16,False,COMPLETED,13,0.8790063858032227,0.6153846383094788
38,32,64,256,3,128,0.4,4.578772662888393e-06,adam,0.0005,16,True,COMPLETED,16,0.9631410241127014,0.6538461446762085
39,64,64,256,3,128,0.30000000000000004,2.9159709503615547e-06,adam,0.0005,32,True,COMPLETED,18,0.9759615659713745,0.6121794581413269
